nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
13006,A,Saint-Denis,H-N-P-Q,-73.556496070956285000,45.511992236677749000,Régulier Payez-Partez
13008,A,Maisonneuve,G-H-Q-S,-73.563823251532511000,45.512390602732047000,Régulier Payez-Partez
13020,A,Laurier,PG-PH-PJ-PM,-73.583784672016762000,45.533557048480503000,Régulier Payez-Partez
13021,A,La Roche,PG-PH-PJ-PM,-73.581921763997869000,45.530220607861835000,Régulier Payez-Partez
13022,A,Marie-Anne,PG-PH-PJ-PM,-73.573771981261856000,45.530355061105659000,Régulier Payez-Partez
13023,A,Gauthier,PG-PH-PJ-PM,-73.565704359326247000,45.531231218304981000,Régulier Payez-Partez
13024,A,433-rue Gaétan-Laberge - Voie Ouest,VN-VP-VQ-VR,-73.562730717897608000,45.464121270360330000,Régulier Payez-Partez
13025,A,433-rue Gaétan-Laberge - Voie Ouest,AB-AC-AD-AE,-73.562347677739055000,45.463682043463542000,Régulier Payez-Partez
13026,A,Notre-Dame,J-SP-SN-SU,-73.569630050257530000,45.486833885908510000,Régulier Payez-Partez
13027,A,Notre-Dame,J-SP-SN-SU,-73.568756984398149000,45.488194170900762000,Régulier Payez-Partez
13028,A,Notre-Dame,J-SP-ST-SU,-73.565693435518469000,45.491714959227153000,Régulier Payez-Partez
13029,A,Montagne,J-SP-ST-SU,-73.561859848436299000,45.492195015826049000,Régulier Payez-Partez
13031,A,Ottawa,L-SP-ST-SW,-73.559037070226609000,45.494623516828575000,Régulier Payez-Partez
13032,A,Seigneurs,J-SP-SN-SU,-73.567469786433421000,45.487061330700151000,Régulier Payez-Partez
13033,A,Chapleau,PG-PH-PJ-PM,-73.564132892241886000,45.536363764430583000,Régulier Payez-Partez
13034,A,Boucher,PG-PH-PJ-PM,-73.590249820264447000,45.529861814189488000,Régulier Payez-Partez
13035,A,Laurier,PG-PH-PJ-PM,-73.580212452878484000,45.536212503834399000,Régulier Payez-Partez
13036,A,Saint-Grégoire,PG-PH-PJ-PM,-73.585992638531735000,45.537025041031313000,Régulier Payez-Partez
13037,A,Wellington (Ver),VN-VP-VQ-VR,-73.566909860714418000,45.462931691779424000,Régulier Payez-Partez
13038,A,Saint-Jacques,J-L-M-SP,-73.565574470386622000,45.495801419338740000,Régulier Payez-Partez
13039,A,René-Lévesque,Q-S-W-Y,-73.554154005077521000,45.517271382075165000,Régulier Payez-Partez
13040,A,437 - Gaétan-Laberge - Voie Centrale,AB-AC-AD-AE,-73.562455819225761000,45.462159843761626000,Régulier Payez-Partez
13041,A,434 - Gaétan-Laberge - Voie Sud,AB-AC-AD-AE,-73.561958489214462000,45.463172286517349000,Régulier Payez-Partez
13042,A,508- La Salle - Voie Centrale,AB-AC-AD-AE,-73.563208949901338000,45.458592800667958000,Régulier Payez-Partez
13043,A,519 - Verdun 19 - 4e Avenue,AB-AC-AD-AE,-73.568163378597930000,45.456985444478228000,Régulier Payez-Partez
13045,A,Notre-Dame,AB-AC-AD-AE,-73.562509254054845000,45.496612610869391000,Régulier Payez-Partez
13046,A,Montagne,AB-AC-AD-AE,-73.568791075491660000,45.494766292455772000,Régulier Payez-Partez
13047,A,Saint-Jacques,A-SN-SP-SQ,-73.581384432665885000,45.482800319350268000,Régulier Payez-Partez
13048,A,Saint-Jacques,A-SN-SP-SQ,-73.580180315761353000,45.483529151452352000,Régulier Payez-Partez
13049,A,Lasalle (Ver),AB-AC-AD-AE,-73.565082890761062000,45.454114691167589000,Régulier Payez-Partez
13050,A,1ere Avenue (Ver),AB-AC-AD-AE,-73.574110198468915000,45.459189363216517000,Régulier Payez-Partez
13053,A,Bleury,F-H-K-N,-73.564913910950821000,45.505396994240307000,Régulier Payez-Partez
13054,A,Bel-Air,A-SN-SP-SQ,-73.583621288868969000,45.482251005152463000,Régulier Payez-Partez
13055,A,502 - Verdun - voie Ouest,AB-AC-AD-AE,-73.562038109265274000,45.466160645241210000,Régulier Payez-Partez
13056,A,Notre-Dame,SN-SP-SQ-SR,-73.588351358424617000,45.473073799673692000,Régulier Payez-Partez
